riverboat   内河船
casino  赌场
gambling    赌博
auditor 审计员
earn    赚得
approximately   大约
coupon  优惠券
worth   价值
issue   发给
track   追踪
electronic  电子的
heroin  海洛因
quit    停止
slot machine    老虎机
dock    停靠码头
go back 返回
sue 起诉
charge  指控
patronage   光顾
addicted    上瘾的
involuntarily   无意地
confine 限制
treatment   治疗
addiction   瘾
inform  告诉
include 把...列入
ban 禁止
gambler 赌徒
cease   停止
admission   准许进入
note    指出
medical 疾病的
psychology  心理的
readmit 允许再次加入
present 提供
demonstrate 证明
threat  威胁
well-being  健康
evidence    证明
department  部门
pepper sb with...   向某人连发...
detect  察觉
bet 赌博
toll-free   免费的
counseling  咨询
mental  心理的
nevertheless    然而
suit    诉讼
intentionally   故意地
engage in   从事
conduct 行为
require 需要
compulsive  强迫性的
sense   意义
operative   有效的
edition 版本
diagnostic  诊断的
statistical 统计学的
manual  使用手册
disorder    混乱
pathological    病态的
persistent  持续的
recurring   反复出现的
uncontrollable  无法控制的
pursuit 追求
thrill  刺激
take risks  冒险
in quest of 为了寻求
windfall    意外之财
worrisome   令人担心的
medicalize  用医学方法处理
define  定义
stern   严厉的
generation  一代人
reclassify  将...重新分类
character   性格
flaw    缺陷
failing 缺点
personality 人格
be akin to...   与...类似
disability  无能力
broadly 基本上
sin 罪过
aggressive  积极的，好斗争的
promoter    促进者
lottery 彩票抽奖
degree  程度
dependent   依赖的
revenue 收入
wager   赌博
create  创建
competition 竞争
intense 激烈的
virtual 虚拟的
pornography 色情作品
profitable  可盈利的

trouble 使烦恼
anonymous   匿名的
undistracted    未分心的
especially  特别
conducive   使容易发生
ground  理由
