dawn	开端
devise	设计
cunning	巧妙的
nasty	令人厌恶的
confer	授予
mechanical	机械的
version	版本
fiction	（虚构）小说
manufacture	大量生产
increasingly	越来越
intelligent	智能的
presence	存在
barely	几乎没有
universal	普遍的
existence	存在
remove	消除
labor	劳动力
hum	繁忙
rhythm	节奏
assembly	装配
terminal	计算机终端
transaction	交易
perform	执行
surgery	外科手术
accuracy	准确程度
perceive	察觉到
subway	地铁
precision	精确度
device	装置
creature	生物（动物）
expert	专家
improve	提高
specific	特定的
dynamic	动态的
fulfill	完成
continual	连续的
cultivate	培养
tackle	处理
delicate	精密的
internal	内部的

词组：
a spell of	一段时间
cope with.../deal with...	应付，对付...
interact with...	与...相互作用，与...互动
respond to...	回应...
common	sense	常识
model thought	模拟思维
thanks to...	多亏了...
as a result		因此

超纲词：
initially	最初
intervention	干涉
creativity	创造力
immediately	立即
ingenuity	聪明才智
burdensome	繁重的
