entitle 使...有权利
relate  讲述
textile 纺织品
mill    工厂
automate    使自动化
average 普通的
employee    雇员
feed    喂养
keep sb away from sth   不让某人接近某物
appear  发表
point   观点
stubbornly  顽固地
unemployment    失业率
largely 很大程度上
demand  需求
recession   经济衰退
advance 进步
globalization   全球化
information technology  信息技术
revolution  大变革
rapidly 快速地
replace A with B    把A换成B
labor   劳动力
lifestyle   生活方式
officially  正式地
robotics    机器人科学
software    软件
automation  自动化
genius  天才
extra   额外之物
unique  独特的
contribute  贡献
field   领域
employment  工作
acceleration    加速
note    指出
shed    解雇，流出
erase   擦除
previous    以前的
roughly 大约
manufacturing   制造业
in total    总计
disappear   不复存在
change  变化
service 服务
for sure    肯定
require 要求
education   教育
support 支持
pass    通过
bill    法案
ensure  确保

illustrate  说明
alleviation 缓解
shrinkage   收缩
decline 下降
moderate    适中的
salary  薪水
opportunity 机会
reduce  减少
accelerate  加速
appropriate 合适的
take effect 生效
