in spite of 尽管
democratize 使大众化
uniformity  一致性
discourse   交谈
absence 缺乏
deference   尊重，顺从
characteristic  特征
consumption 消费
launch  发起
array   大量
elegant 优雅的
intimate    私人的
cater to    迎合
knowledgeable   知识渊博的
elite   精英
regardless of   不管
background  出身背景
the mass media  新闻界
advertising 广告业
immigrant   移民（移入）
altogether  完全地，总而言之
elevate 提高
poisonous   有毒的
unprecedented   前所未有的
resistant   抗拒的
assimilation    同化
prior to... 在...之前
resident    居民
ownership   所有权
intermarriage   异族通婚
census  人口普查
reveal  显示
residence   定居
bilingual   使用两种语言的
proficient  精通的
generation  一代
graveyard   墓地
foreign-born    生于国外的
native-born 土著的
Asian   亚裔
Hispanic    西班牙裔美国人
married 结婚的
remote  偏远的
somehow 以某种方式
remain immune to sth 不受某事影响
divisive    引起分歧的
pocket  小组织
seething    满腔怒火的
indeed  确实
turbulent   动荡的
deteriorate 恶化

identify    识别
associate   联系
assimilate  使同化
monopolize  垄断
owe A to B  把A归因于B
emergence   出现
exert   产生（影响）
constitute  构成
absorption  吸收
rewarding   令人有收获的
fruitless   徒劳的
harmful 有害的
