acquisition	收购
witness	目击
sweep	迅速传播
might	力量
competitive	竞争的
figure	数字
affiliate	分会
segment	部分
reform	改革
phenomenon	现象（复数把on变为a）
concern	担心
firm	公司
ultimate	基本的
stability	稳定性
massive	大量的
underlie	构成...的基础
barrier	障碍
operation	运营
beneficial	有利的
productivity	生产力
surplus	过剩的
benefit	好处
current	当前的
reduction	减少
pace	节奏
technical	技术的
movement	运动
supervise	监督
regulate	管理/调整
resort	诉诸
gigantic	巨大的
shift	转变
typical	典型的
threaten	威胁
objective	客观的
production	生产
combine	合并	combine	sth with sth
economy	经济
supply	提供
pessimistic	悲观的  optimistic

词组：
go through	经受，经历
account for...	占...的比例/解释,对...做出说明
for instance	例如
take in 吸收/理解
break up 解体/分手

超纲词：
wealth	财富
globalization	全球化的
biased	有偏见的
unsurpassed	无与伦比的
national	国家的
multinational	跨国的
transportation	运输
