relationship    关系
formal  正规的
economic    经济的
widely  普遍地
economist   经济学家
politician  政治家
alike   同样的
undoubtedly 无疑地
necessary   必要的
political   政治的
intellectual    智力的
conventional    传统的
priority    优先事项
promote 促进
fortunate   幸运的
improve 改善
generation  一代人
institution 机构
train   培训
achieve 获得
radically   根本上
productivity    生产力
as a result 结果
standard    水平
ironically  讽刺地
evidence    证明
appear  出现
recession   经济衰退
bubble  泡沫
peak    顶峰
workforce   劳动人口
deride  嘲笑
poorly  糟糕地
primary 主要的
global  全球的
automotive  汽车的
assembly    装配
reveal  显示
counterpart 对应的事物
training    培训
recently    最近
examine 调查
construction    建设
discover    发现
illiterate  不识字的
Mexican 墨西哥的
consistently    一贯地
despite 尽管
complexity  复杂
industry    行业
suspect 猜想
after all   毕竟
ancestor    祖先
hunter  猎人
gatherer    采集者
humanity    人类
potential   潜能
increase    提高
as well 也
competitive 竞争的
in turn 反过来
afford  负担得起
sufficient  充分的
condition   条件
advanced    先进的
poverty 贫穷
trap    牢笼
broad   广泛的
constrain   限制
substantially   大大地
for the foreseeable future  在可预见的未来
on the contrary 相反
explain 解释

be subject to sth   易受某事影响
groundless  无根据的
victim  牺牲品
bias    偏见
downgrade   低估，使降级
overestimate    高估
disciplined 遵守纪律的
organized   有组织的
quote   举例说明
directly    直接地
depend on   取决于
follow  在...后发生，随着
