project 计划
cheerleader 支持者
debt    债务
population  人口
decline 减少
as well as sth  除某事之外
chronic 长期的
acute   严重的
crisis  危机
the single currency 单一货币
faith   信心
economy 经济
converge    趋于相似
thanks to sth   因为某事
uncompetitive   无竞争力的
the quick fix   权宜之计
devaluation 贬值
debate  争论
disintegrate    解体
stuck   停滞不前的
dominant    主导的
power   势力
harmonise   使和谐，使统一
borrowing   借用
spending    支出
competitiveness 竞争力
sanction    制裁
obey    遵守
threat  威胁
freeze  冻结
suspension  暂停
ministerial 部长的
council 委员会
co-ordination   协调
liberalism  自由主义
rigour  严格
favour  赞同
interference    干涉
camp    阵营
politician  政治家
intervene   干涉
monetary    货币的
redistribution  再分配
common  共同的
Eurobond    欧洲债务
fiscal  财政的
transfer    转移
figure  人士
murmur  私下抱怨
curb    抑制
write off...    认定...失败
remarkably  非常地
liberal 自由的
capital 资金
comparable  相当的
ambitious   野心勃勃的
attempt 尝试
globalization   全球化
capitalism  资本主义

concerned   担忧的
intend  打算
possibility 可能性
handle  处理
propose 提议
regulation  规定
guarantee   保障
proposal 提议
apply   应用
loan    借款
available   可获得的
basically   基本上
regarding   关于
pessimistic 悲观的
desperate   绝望的
conceited   自负的
