indicate    显示
rampant 泛滥的
despite 尽管
implement   实施
tremendous  巨大的
solution    解决办法
waste   废物
recycle 回收
harmless    无害的
moreover    此外
available   可获得的
cause   引起，造成
excessive   过度的
recommend   推荐
meanwhile   同时
government  政府
encourage   鼓励
eco-friendly    环保的
suggestion  建议
valuable    有价值的
look forward to 期待
inform  告知

cartoon 漫画
circular    圆形的
divide...into...    把...分成...
netizen 网民
screen  屏幕
direct  直接的
communication   交流
in fact 实际上
owing to    因为
provide 提供
equal   平等的
information 信息
disguise    掩盖
personality 性格
refuse  拒绝
immersion   沉浸
virtual 虚拟的
social  社交的
separation  分离
permanent   永久的
estrangement    疏远
finally 最终
traditional 传统的
pattern 模式
interpersonal   人际的
horrific    可怕的
appropriate 合适的
measure 措施
for example 例如
association 社团
organize    组织
youngster   年轻人
effort  努力
imperative  至关重要的
in conclusion   总之
instead of 而不是
insulate    隔离
harness 利用
