national    国家的
associate   协会
foot    英尺
season  赛季
major   主要的
profession  职业的
dramatically    戏剧性地
manager 经理
willing 乐意的
adjust  调整
uniform 制服
frame   架构
trend   趋势
obscure 掩盖
unrecognizable  不被注意的
reality 事实
especially  尤其
generation  一代
apparently  显然
reach   达到
limit   极限
general 综合的
population  人口
genetic 基因的
environmental   环境的
level   水平
pretty much 几乎
anthropologist  人类学家
increase    增长
height  身高
appear  似乎
result  导致
common  普遍的
practice    惯例
recruit 招募
rarely  很少
continue    继续
demand  需要
calorie 卡路里
nutrient    营养物
notably 特别
protein 蛋白质
feed    供给
tissue  组织
infection   传染病
diet    日常饮食
improve 改善
adolescent  青少年
on average  平均来看
pattern 模式
secular 长期的
disease 疾病
prevention  预防
avoid   避免
substantial 大量的
childbirth  分娩
canal   管道
moreover    而且
upright 直立的
struggle    斗争
bipedal 两足动物的
posture 姿势
withstand   承受
repeated    反复的
strain  压力
impose  使承受，强加
limb    肢体
constraint  限制，强制
architecture    结构
individual  个体的
organism    有机体
maximum 极限
senior  资深的
research    研究
ensure  确保
alteration  改动
military    军队的
predict 预测
equipment   装备
by and large    大体上
fairly  相当地
confident   自信的

cite    引用
illustrate  说明
compare 比较
assess  评估
achievement 成就
modification    改造
standard    水平
daily   日常的
statement   声明
condition   限制
adulthood   成年
garment 衣服
industry    行业
reconsider  重新考虑
remain  保持
employ  使用
select  挑选
existing    现有的
applicable  适用的
intend  打算
follow  遵循
cyclic  循环的
predictable 可预测的
alter   改变
