no longer   不再
figure  人物
command 控制
aspire  渴望
degradation 退化，下降
linguist    语言学家
liberal 自由的
conservative    保守的
triumph 胜利
permissive  放任的
criticism   批评
academic    学术的
speciality  专长
gradual 逐渐的
regrettable 令人惋惜的
case    箱
ending  词尾
cult    狂热
authentic   真实的
personal    个性的
spell   导致（不好的结果）
educated    受过教育的
elevated    高尚的
capture 捕获
performative    表述行为的
oral    口语的
spontaneity 自发行为
craft   手艺
illustrate  说明
array   大量
trend   趋势
document    记录
unmistakable    确定无疑的
subtitle    副标题
acknowledge 承认
expensive   有表现力的
dialect 方言
convey  传达
complex 复杂的
large chunks of 大量
elaborate   用心完成
propose 提议
radical 彻底的
grieve over sth 对某事物感到悲伤
inevitable  不可避免的

controversy 争议
bring about 引起
denote  表示
personality 个性
informality 非正式
logical 符合逻辑的
description 描述
appreciation    欣赏
admiration  钦佩
contempt    鄙视
temporary   暂时的
permanent   永恒的
