be obsessed with sth    对某物着迷
pervasive   充斥各处的
intrinsically   本质上
girlhood    少女
in one way  在某种程度上
fuse    使融合
identity    特性
appearance  外表
present 展现
connection  联系
evidence    证明
innocence   纯真
despair 绝望
imagination 想象
unavoidable 不可避免的
somehow 以某种方式
encode  编码
domestic    家用的
practical   实用的
boil    沸腾
gender-neutral  中性的
nursery 幼儿教育的
introduce   引进
masculine   男性的
version 版本
be associated with sth  与某物有关
constancy   忠贞
symbolize   象征
femininity  女子气质
dominant    主导的
marketing   营销
inherently  固有地
attractive  有吸引力的
at least    至少
critical    关键的
realise 意识到
profoundly  深刻地
dictate 影响，指示
perception  看法
psychological   心理的
assume  认为
phase   阶段
turn out    原来是
consumerism 消费主义
trick   技巧
counsel 建议
infant  供婴儿用的
evolve  进化
split   使分开
category    类别
boost   促进
segment 细分
magnify 夸大
previously  先前地

sole    唯一的
influence   影响
be regarded as...   被认为是...
consumption 消费
classify    将...分类
attach importance to... 重视...
inborn   天生的
impose  强加
interpret   解释
