afford  提供
anonymity   匿名
blessing    好事
privacy 隐私
freedom 自由
speech  演讲，说话
behind  在...背后
explosion   爆发，激增
cyber-crime 网络罪犯
preserve    保护
security    保障
increasingly    越来越多地
federal 联邦的
voluntary   自愿的
identity    身份
fingerprint 指纹
all rolled into one 集于一体
smart   智能的
specific    特定的
range   一系列
federation  联盟
navigate    浏览
approach    方式
contrast    对比，对照
company 公司
cyberspace  网络空间
neighborhood    街区
community   社区
describe    描述
ecosystem   生态系统
individual  个人的
organization    组织
complete    完成
transaction 交易
run 运行
administration  政府
activist    活跃分子
applaud 喝彩，称赞
concerned   担忧的
scheme  计划
compulsory  强制的
mentality   思想方法，心态
greet   欢迎，迎接
envision    设想
argue   认为

lawless 不受法律控制的
pointless   无意义的
reminder    提醒人的事物
compromise  妥协
proposal    提议
interference    干涉
entertainment   娱乐
equivalent  等同的
link    连接
direct  值得，指向
chain   用锁链拴住
dismiss 解散
recall  回忆起
select  选择
release 公开
issue   发给
distribute  分配
deliver 递送
carry on    继续做
linger on   继续存留
set in  到来
log in  登录
in vain 徒然，白费
in effect   实际上
in return   作为回报
caution 谨慎
divide  使产生分歧
disappoint  使失望
unite   联合
frequently  频繁地
incidentally    偶然地
occasionally    偶尔
eventually  最终
skepticism  怀疑态度
tolerance   容忍
indifference    漠不关心
enthusiasm  热心
manageable  可操作的
vulnerable  易受攻击的
invisible   看不见的
appoint 任命
force   强制
