court	法院
sufficient	充足的
release	发布
illegal	非法的
desperate	不顾一切的
effect	效果
implication	可能的影响
physician	内科医生		surgeon	外科医生
approach	靠近
drug	药物
death	死亡
principle	原则，原理
suicide	自杀
assist	协助
physical	身体的
moral	道德的
bold	大胆的
supreme	最高的
department	部门
maintain	坚持说
oppose		反对
foresee	预见
contend	声称
despair	绝望
prescribe	开处方
shield	保护
agony	极大痛苦
prolong	延长
fuel	给...加油
aggressive	好斗的
recovery	恢复
abuse	滥用
insist	坚持
eventually	最后
acknowledge	承认
procedure	步骤
license	许可证
relieve	减轻
legitimate	合乎情理的
systematic	系统的，有条理的

词组：
seek to	试图
identify...as...	认定...为...
in effect	实际上
as long as  只要
twin problems	双重问题

超纲词：
dosage	剂量
homicide	杀人者
medication	药物
harmful	有害的
treatment	治疗
careless	不小心的
insufficient	不充分的
