birth   出生
certificate 证明书
tournament  锦标赛
noteworthy  值得注意的
quirk   奇事
European    欧洲的
national    国家的
professional    职业的
phenomenon  现象
pronounced  明显的
account for...  是...的原因
guess   猜想
astrological    占星术的
confer  赋予
superior    上级的
tend    往往会
stamina 耐力
conceive    怀孕
springtime  春季
peak    高峰
mania   狂热
psychology  心理学
nuclear 原子核的
engineering 工程学
conduct 进行
switch  转变
experiment  实验
random  随机的
digit   数字
recall  回忆道
conclude    得出结论
cognitive   认知的
intuitive   直觉的
in other words  换句话说
memorize    记忆
swamp   淹没
encode  编码
deliberate  有意的
entail  需要
involve 包含
immediate   立即的，即时的
feedback    反馈
technique   技巧
outcome 结果
colleague   同事
gather  收集
biographical    关于生平的
laboratory  实验室
startling   惊人的
assertion   断言
trait   特性
overrate    高估
surgery 外科手术
ballet  芭蕾舞
programming 编程
spotlight   使突出
hysteria    揭斯底里
processing  处理
genetic 基因的
psychological   心理学的
overlook    忽略
reap    收获
sow 播种
