address 演说
gathering   聚会
suburban    郊区的
invite  邀请
throughout   自始至终
particularly    特别
talkative   健谈的
frequently  频繁的
anecdote    趣闻
comment 评论
complain    抱怨
nod 点头
agreement   一致
gesture 打手势
burst into laughter 突然大笑
puzzle  使..困惑
conversation    谈话
silence 沉默
crystallize 使明确，使具体化
irony   反话
pattern 模式
wreak   造成
marriage    婚姻
observe 观察，注意到
sociologist 社会学家
divorce 离婚
interview   采访
communication   交流
given   鉴于，考虑到
current 当前的
case    事例
virtual 实际上的
epidemic    传染病
complaint   抱怨
focus   集中
tangible    实际的，有形的
inequality  不平等
chance  机会
accompany   陪伴
arrangement 安排
first and foremost  首先
conversation    谈话
expectation 期望
in short    总之
image   形象
stereotypical   典型的
cartoon 漫画
glare   怒目而视

trust   信任
generate    产生
motivation  动力
exert   施加
influence   影响
cause   造成
damage  危害
create  造成
pressure    压力
attach importance to... 重视...
spouse  配偶
summarize   概括
moral   道德的
deserve 值得
break-up    破裂
stem from...    源于...
vivid   生动的
brief   简洁的
introduction    介绍
