hunt for    搜寻
lawyer  律师
stumble 意外发现
database    数据库
agent   代理商
interactive 互动的
key 键入
criterion   准则
title   职位名称
salary  薪水
intellectual property   知识产权
notification    通知
in-house    公司内部的
counsel 法律顾问
promising   有前途的
time-consuming  费时的
inefficient 效率低的
repeated    反复的
drawback    弊端
narrow  缩小
work against    对...造成不利
eliminate   排除
possibility 可能性
concept 概念
broaden 扩宽
program 程序
strategy    策略
keep abreast of sth.    了解某事的最新情况
particular  特点的
reminder    提示
tempt   吸引
potential   可能的
sharp   急剧的
traffic 流量
worthwhile  有价值的
keep a close watch on   密切注视
gather  收集
compensation    薪水
negotiate   谈判

special 特殊的
efficiency  效率
advisory    警告
interaction 互动
option  选项
indispensable   必不可少的
employ  雇用
