supplement  副刊
feature 以...为特色
column  专栏
query   提问
mental  智力的
record  记录
complete    完成
verbal  言语的
visual  视觉的
analogy 类比
envision    想象
deduce  推论
numerical   数字的
sequence    序列
similar 类似的
confusing   令人困惑的
field   回答（问题，通常指成功地）
average 平均的
difference  区别
fondness    喜爱
nature  本质
coincidence 巧合
obvious 明白的
capacity    能力
visualize   使形象化
object  物体
figure out  计算出
pattern 模式
elude   把...难住
philosopher 哲学家
intelligence    智力
encompass   围绕
specify 明确说明
neurology   神经学
genetics    遗传学
field   领域
primarily   主要地
scale   量表
version 版本
generally   通常
psychologist    心理学家
variation   变体
populate    居住于
possible    可能的
be based on...  以...为基础
statistical 统计的
population  人口
distribution    分布
peer    同年人
rather than 而不是
divide  除以
chronological age   实际年龄
multiply    乘以
standardize 使标准化
assessment  评估
graduate    研究生
capture 捕获
aspect  特点
assess  评估
element 要素
necessary   必须的
succeed 成功的
argue   认为
intelligent 智能的
traditional 传统的
analytical  分析的
measure 评估
creativity  创造力
practical   实践的
component   成分
critical    关键的
moreover    而且
predict 预测
situation   情况
leadership  领导
be correlated with...   与...相关
opposite    相反的
toil    辛苦工作
testify 证实
philosophical   哲学的
tell    辨别，区分
shape   形状
concept 概念
infer   推断
indicator   指标
available   可用的
contents    内容
format  格式
computational   计算的
procedure   步骤
emphasize   强调
extreme 极端的
characteristic  特征
reliable    可靠的
out of date 过时的
attitude    态度
supportive  支持的
skeptical   怀疑的
impartial   中立的
biased  有偏见的
