leading 一流的
weigh in   积极参与
debate  讨论
promote 促进
public health   公众健康
demand  需求
minister    大臣
impose  施加影响，强加
introduce   采用
warning 警告
danger  危害
comment 评论
secretary   大臣
insist  坚持
force   强迫
promise 承诺
business    企业
regulation  条例
senior  级别高的
medical 医学的
figure  人士
fast-food   快餐
outlet  商店
restrict    限制
product 产品
limit   限制
sponsorship 赞助
argue   认为
curb    抑制
addiction   嗜好
halt    停止
spiral  急剧增长
rate    比率
obesity 肥胖
diabetes    糖尿病
heart disease   心脏病
damaging    有害的
excessive   过度的
drinking    饮酒
inconceivable   难以想象的
imagine 想象
ban 禁止
workplace   工作场所
pub 酒吧
courageous  勇敢的
in respect of sth   就某事而言
alarm   使惊恐
campaigner  出征者
take the lead   带头
manufacturer    生产商
centrepiece 最重要的项目
boost   促进
criticise   批评
celebrity   名人
high-profile    高调的
attempt 企图
lecture 说教
behaviour   行为
potential   潜在的
billboard   广告牌
cinema  电影院
bold    勇敢的
strict  严格的
product 产品
move    行动
affect  影响
firm    公司
sponsor 赞助
scheme  计划
lure    引诱
customer    顾客
impact  影响
at least    至少
available   可获得的
urge    敦促
council 委员会
takeaway    外卖的
publish 发布
set out sth 规划某事
tough   强硬的
tactic  策略
deploy  有效地利用，部署

significantly   有重大意义地
strengthen  加强
