focus	焦点
convention	大会
chairman	董事长
entitle	给...权利
remark	评论v+n
benefit	有益于
various	各种各样的
strategy	策略
manner	方式（特殊方法）
arrival	到达（者）n
intend	打算
attempt	尝试
conscious	意识到的
refer	提到+to	提到...
comment	评论
humor	幽默
relevant	相关的
deliver	发表
delivery	演讲方式
quote	引语
privilege	特权
title   标题
audience	观众
familiar	熟悉的
casual	漫不经心的
aside	在旁边
twist	转折
heaven	天堂
god	上帝
resent	怨恨
awkward	令人尴尬的
canteen	食堂
peaceful	平静的
inject	增加（某种特性）
accommodation	住处（短期使用的）
grab	抓住
notorious	臭名昭著的
eyebrow	眉毛
statement	声明
address	向...发表讲话

词组：
laughing stock	笑料
be in a position to...	能够...
in sympathy with...	同情...
push aside	把...推到一边
cut int     插嘴
stick to    坚持

超纲词：
exaggerated	夸张的
casually	随意地
inappropriate	不合适的
alternatively	二者择一地
disorganized	计划不周的
awkwardly	笨拙地
