the homeless    无家可归的人
make up 占
percentage  百分比
population  人口
proportions 协调，均衡
local   地方的
government  政府
independence    自立
federal 联邦政府的
support 支持
minimum 最低的
fund    资助
estimate    估计
figure  数字
analyst 分析者
decade  十年
increasingly    越来越多地
individual  个人
manage  设法做成
good    相当多的
the bulk of...  大部分...
addicted    成瘾的
alcohol 酒
significant 数量相当的，可观的
disorder    疾病，混乱
lack    缺乏
improve 改善
address 设法解决
director    主任
community service   社区服务
package deal    整批交易

indeed  实际上
likewise    同样地
therefore   因此
furthermore 此外
stand   忍受
cope    对付
approve 赞成
retain  保持
raise   提高
generally   大体上地
almost  几乎
hardly  几乎没有
cover   包括
change  变成
range   变化
differ  相异
now that    既然
provided    如果
inflate 使充气
expand  增加
increase    增加
extend  延长
predict 预测
display 显示
prove   证明
discover    发现
assist  帮助
track   追踪
sustain 维持
dismiss 让...离开
lodging 租住的房间
shelter 避难所
dwelling    住宅
search  搜索
stroll  散步
crowd   挤满
wander  流浪
once    一...就
while   虽然
whereas 然而
existence   生活方式
survival    幸存
maintenance 维护
turn around 使好转
turn over   使翻转
turn on 接通
turn up 开大
complex 复杂的
comprehensive   综合的
complementary   互补的
put 说，表达
interpret   解释
assume  假定
supervision 监督
manipulation    操纵
regulation  管理
coordination    协调
