prehistoric 史前的
extinct 灭绝的
species 物种
survive 幸存
game    猎物
hunt    猎杀
extinction  灭绝
similar 类似的
fishery 渔场
attempt to do sth   试图做某事
estimate    估算
biomass 生物量
biological  生物的
particular  特定的
latest  最近的
predator    食肉动物
reduce  减少
on average  平均来看
exploitation    开发
halve   减半
acknowledge 承认
figure  数据
conservative    保守的
vessel  船
prey    猎物
satellite   人造卫星
sonar   声呐
available   可获得的
proportion  份额
present 现在
record  记录
be saturated with...    充满...
individual  个体
bait    在...放诱饵
trap    诱捕
underestimate   低估
stock   总存储量
furthermore 此外
baseline    基准
management  管理
take...into account 考虑到...
current 流行的
marine  海洋的
biologist   生物学家
notion  观点
detect  察觉
massive 巨大的
relatively  相对地
maximum 最大的
sustainable 可持续的
yield   产量
original    起初的

vulnerable  易受伤的
disappear   灭绝
threat  威胁
drop    减少
rapidly 迅速地
suffer  遭受
out of date 过时的
restore 恢复
adjust  调整
situation   形势
concerned   关注的
efficiency  效率
application 应用
