component   组成部分
logic   逻辑
suspend 使暂停
formulate   构想
revolutionary   革命性的
disguised   伪装的
unconscious 潜意识的
neurologist    神经病学家
switch  转变
mental  精神的
random  随机的
byproduct   副产品
suspect 猜想
emotional   情绪的
thermostat  恒温调节器
regulate    调节
leading 主要的
authority   权威人士
intensely   极度地
harness 利用
psychology  心理学
medical 医疗的
evidence    证据
support 支持
rapid   快速的
movement    移动
vivid   鲜明的
occur   发生
limbic system   边缘系统
the prefrontal crotex   额叶前皮层
intellect   思维能力
reasoning   推理
relatively  相对地
depressed   沮丧的
emotion 情绪
patient 病人
clinic  诊所
work through    设法克服
negative    消极的
generate    产生
conscious mind  意识
be occupied with... 忙于...
think about 考虑到
significance    意义
recurring   反复出现的
identify    认出
upsetting   令人烦恼的
visualize   设想
pay attention to    注意
terrorism   恐怖主义
economic    经济的
uncertainty 不确定的事
general 普遍的
insecurity  不安全
anxiety 焦虑
persistent  持续的
nightmare   噩梦
therapist   治疗专家

modify  更改
susceptible 易受影响的
innermost   内心深处的
outcome 结果
function    作用
mechanism   运行机制
relation    关系
aggravate   加重
persist 持续
essential   至关重要的
rid 使摆脱
professional    专业的
