decade  十年
perfect 使完美
automatic   无意识的
consumer    消费者
snack   小吃
wipe    擦拭
counter 柜台
response    反应
design  设计
cue 暗示
fundamental 基本的
instead of  代替
remain  仍然是
killer  导致死亡的事物
figure out...   解决...
director    主任
hygiene 卫生
tropical    热带的
private 私营的
industry    企业
turn to...  向...求助
invest  投资
subtle  不易察觉的，微妙的
corporation 公司
routine 惯例
product 产品
moisturizer 润肤霜
disinfect   给...消毒
air freshener   空气清新剂
purifier    净化器
whitener    增白剂
fabric softener 织物柔顺剂
vitamin 维生素
multiple    多的
advertising 广告
campaign    运动
habitually  习惯性地
pearly  珍珠般的
cavity  洞
scrub   刷洗
brand   品牌
beverage    饮料
bottle  装入瓶中
far-off 遥远的
spring  泉
unthinkingly    不假思索地
sip 小口喝
bottled 瓶装的
primarily   主要地
adolescent  青春期的
feature 以...为特色
commercial  商业广告
cleanser    清洁剂
makeup  化妆品
weekly  每周的
psychologist    心理学家
retire  退休
positive    积极的
essential   至关重要的
viable  可行的
experiment  实验
observation 观察
controversy 争议
erupt   爆发
tactic  策略
questionable    有问题的
cream   护肤霜

cultivate   培养
rooted  根深蒂固的
so as to do sth 为了做某事
reveal  揭示
impact  影响
urgent  迫切的
necessity   必需品
indicate    表面
manifest    显示
significant    主要的
promotion   宣传
influence   影响
indifferent 漠不关心的
negative    消极的
biased  有偏见的
