federal 联邦的
judge   法官
shake   震惊
biotech 生物技术
patent  专利权
decade  十年
gene    基因
rule    裁定，统治
executive   主管
violently   强烈地
agitated    焦虑的
assure  保证
preliminary 初步的
relieved    放心的
temporarily 暂时地
appeals court   上诉法院
overturn    推翻
prior   先前的
forecast    预测
chief executive 首席执行官
blessing    幸事
alike   两者都
attempt 尝试
personalised    个性化的
remain  仍然是
rather  相当
probably    很可能
critic  批评者
argument    理由
suppress    抑制
innovation  创新
monopoly    垄断
access  机会
task-force  工作组
urge    敦促
reform  改革
file 送交
brief   摘要
molecule    分子
fibre   纤维
separate    分离
despite 尽管
unclear 不清楚的
sequencing  排序
genome  基因组
individual  单独的
the Supreme Court   最高法院
advance 发展
impact  影响
public domain   公共领域
interact    相互作用
correlation 关联
determine   确定
predict 预测
efficacy    功效
eager   渴望的
explain 解释
success 成功
convention  大会
packed  挤满人的

issue   发出
warning 警告
rule out... 排除...
reliable    可靠的
establish   建立
identify    识别
authoritative   权威性的
keen    热衷的
attend  参加
critical    批评的
supportive  支持的
scornful    鄙视的
objective   客观的
