fat 大量的
vanish  消失
colleague   同事
reputation  名声
slack   偷懒
behaviour    行为
regard  把...看作
underlying  潜在的
assumption  假设
capable 有能力的
grievance   不满
publish 发表
good-natured    性情温和的
creature    动物
readily 乐意地
above all   最重要的是
counterpart 对应的人
pay attention to    注意到
characteristic  特点
perfect 理想的
candidate   被认定适合者
exchange    交易
token   代币
slice   薄片
separate    分开的
adjoining   毗邻的
chamber 房间
markedly    明显的
luxury  奢侈的
preferable  更合适的
hand    给
reluctant   不愿意的
mere    仅仅
receive 收到
toss    扔
presence    出现
induce  引起
resentment  怨恨
guide   影响
the wild    自然环境
species 物种
stable  稳定的
cheat   欺骗
righteous   正义的
indignation 愤怒
reward  酬劳
completely  完全地
abundantly  十分地
fairness    公平
evolve  演变
independently   独立地
stem from   起源于
ancestor    祖先
unanswered  未解决的

opening 第一
contrast    对比
justify 证明...有理
comparison  比较
phenomenon  现象
statement   声明
imply   暗示
rival   竞争对手
resent  对...感到愤怒
unfairness  不公平的
jealous 嫉妒的
be inclined to do sth   倾向于做某事
weight  权衡
attentive   关注的
instruction 指示
appearance  外表
temperament 性格
generous    慷慨的
companion   同伴
infer   推断
uncertain   不确定的
remain  保持
