concern 涉及
opportunity 机会
contribute  捐助
more than   非常
recommend   推荐
candidate   候选人
remain  留在
rural   乡下
region  地区
urban   城市的
left-behind children    留守儿童
uppermost   最重要的
therefore   因此
cover   负担支付
tuition 学费
expenses    费用
fear from sb    得到某人的消息
financial   财政的
poverty-stricken    贫困不堪的
prompt  及时的
appreciate  感激
represent   成为典型
worship 崇拜
imitate 模仿
behavior    行为
survey  调查
express 表示
adoration   崇拜
undeniably  不可否认地
possess 具有
public  公众的
appeal  号召力
frailty 弱点
so-called   所谓的
ideal   理想的
glamorous   有魅力的
appearance  外表
value   重视
inner   内心的
endeavor    努力
persistence 坚持
factor  因素
critical    至关重要的
formation   形成
perspective 角度
successful  成功的
experience  经验
indeed  确实
chase   追求
success 成功
insight 深刻见解
wisdom  智慧
inspiration 灵感
eventually  最终地
turn A into B 使A变成B
motivation  动力
rational    理性的
admiration  钦佩
rather than 而不是
mindless    盲目的
adhesion    追随
quality 素质
spirit  精神
apparent    显然的
overlook    忽视
in a word   总之
worthy  值得...的
