former  以前的
colony  殖民地
independent 独立的
roughly 大约地
crisis  危机
regime  政权
colonialism 殖民主义
ideal   理想
representative  有代表性的
talent  人才
commerce    商业
trade   贸易
private 私有的
property    财产
belief  信念
basis   基础
sovereign   有主权的
state   国家
viable  可行的
integrate   使成为一体
issue   争论的问题
religion    宗教
position    地位
agreement   一致
leadership  领导层
Catholicism 天主教
state religion  国教
seek    试图
seek to do sth  试图做某事
maintain    保持
official    官方的
faith   宗教信仰
defense 保卫
conservative    保守的
force   势力
egalitarian 平等主义的
value   重视
equality    平等
aid 援助
in return   作为回报
abolish 废除
slavery 奴隶制
liberate    解放
tribute 贡物
tax 税
mixed   混合的
origin  血统
revenue 收入
sentiment   情绪
temper  使缓和
fear    担心
the mass of...  大多数...
self-rule   自治
democracy   民主

native  本地人
inhabitant  居民
people  民族
cheerfully  愉快地
hopefully   坏有希望地
share   共同拥有
attain  获得
reject  拒绝
be related to...    与...有关
access  使用权
succession  继承
right   权利
presumably  大概
incidentally    顺便提一句
obviously   明显地
generally   普遍地
unique  独特的
common  共同的
particular  特别的
typical 有代表性的
impact  影响
reform  改革
moreover    此外
allow   认可
preach  宣扬
grant   允许
fund    资助
against 反对
spread  传播
interference    干涉
exclusion   排斥
influence   影响
rallying cry    战斗口号
plea 恳求
urge    敦促
intend  打算
expect  期待
promise 承诺
remaining   剩余的
original    起初的
create  创造
produce 使生产
contribute  捐献
puzzled 感到困惑的
hostile 敌对的
pessimistic 悲观的
unprepared  没有准备好的
