coincide    同时发生
groundbreaking  开创性的
evolution   进化
propose 提出
naturalist  自然主义者
philosopher 哲学家
put forward 提出
worldly 世间的
phenomenon  现象
society 社会
perfection  完善
found   创立
anthropology    人类学
scientific  科学的
custom  风俗
attempt 试图
aspect  方面
historical  历史的
emphasize   强调
direction   方向
belong to   属于
evolutionary    进化的
dominant    支配的
reject  拒绝
in favor of 支持
attribute...to...   把...归因于...
virtually   实际上
achievement 成就
gifted  有天赋的
spread  传播
religious   宗教的
function    起作用
reinforce   加强
solidarity  团结

innovation  创新
invention   发明
diffusionism    传播论
particular  特定的
completely  完全地
linguistics 语言学
physical    身体的
anatomy 解剖学
characterize    成为...的特征
struggle    竞争
survival    幸存
eventually  最终
replace 取代
ritual  仪式
signify 意味，象征
entrance    入口
diverse 多样的
structure   结构
marriage    婚姻
category    类别
kinship 亲属关系
ownership   所有权
property    财产
government  政府
technology  技术
evolve  逐步发展
view    把...视为
integrated  互相协调的
inadequate  不足的
pottery 陶器
metallurgy  冶金学
originate   起源
diffuse 传播
occur   发生，出现
separately  分别地
