straightforward 简单的
laboratory  实验室
submit  提交
journal 期刊
remove  去除
affiliation 隶属机构
peer    同行
review  评审
comment 意见
receive 收到
publication 发表
decline 婉言拒绝
copyright   版权
rest    归于
publisher   出版社
seek    寻求
knowledge   了解
subscribe   订阅
pressure    压力
funding 提供资金
agency  机构
question    质问
commercial  商业的
access  的机会
scientific  科学的
reality 现实
organisation    组织
economic    经济的
co-operation    合作
issue   发布
describe    描述
far-reaching    影响深远的
consequence 影响
handsome    数量大的，大方的
profit  利润
signal  标志
element 要素
endeavour   尝试
value   价值
return  回报
investment  投资
distribution    分布
core    主要的
estimate    估价
international   国际的
association 协会
technical   技术的
medical 医学的
worldwide   在全世界
specialize  专门研究
according to    根据
scholarly   学术的
entirely    完全地
model   模式
emerge  兴起
identify    发现
so-called   所谓的
institutional   机构的
subscriber  订阅者
collection  一批物品
license 许可
agreement   协议
typically   通常
support 资助
archive 档案文件
repository  仓库
exist   存在
hybrid  混合物
freely  免费地
available   可获得的
form    形式
process 过程

discuss 讨论
background  背景
edit    编辑
routine 日常工作
relation    关系
criticize   批评
upset   使心烦
profit-making   盈利的
benefit 对...有益
considerably    非常
significant 有重要意义的
emphasize   强调
crucial 关键的
facilitate  促进
require 要求
cover   足以支付
cost    费用
complete    完成
submission  提交
summarize   概括
threat  威胁
channel 途径
render 使变得
service 服务
